Species,Population,Year
B,853.0,2025
B,830.5076420471565,2026
B,804.824270316767,2027
B,781.9681152879017,2028
B,774.4108072021761,2029
B,764.8264112274563,2030
B,757.6604588207966,2031
B,764.5786379860702,2032
B,771.3537595706359,2033
B,771.2076767392524,2034
B,774.1177818851487,2035
B,777.3219135888078,2036
B,767.2985200530578,2037
B,756.8315917887995,2038
B,761.3104664404218,2039
B,756.0954868512582,2040
B,751.216084441839,2041
B,761.3142279251059,2042
B,772.7952746806652,2043
B,776.6131258301378,2044
B,788.0261805302221,2045
B,793.0349712421374,2046
B,780.4101663572654,2047
B,771.1417977735729,2048
B,772.6970518081249,2049
B,766.5507353453061,2050
B,762.5702047468056,2051
B,773.4721971933695,2052
B,784.7372037474789,2053
B,792.5855919969946,2054
B,808.7144226307335,2055
B,817.9688469302971,2056
B,807.2172048405479,2057
B,793.5999233236017,2058
B,793.8022823563921,2059
B,787.6336247543678,2060
B,783.065904604533,2061
B,793.8439992700999,2062
B,806.1916959773359,2063
B,813.6536434295318,2064
B,820.0037642068271,2065
B,825.03865510744,2066
B,820.8785579341194,2067
B,811.6717142858073,2068
B,817.3240431562338,2069
B,813.9549919819335,2070
B,807.6786555418793,2071
B,817.574910566406,2072
B,827.760786193188,2073
B,832.447373783735,2074
B,839.8737607894532,2075
B,843.7707096051639,2076
B,840.111281542828,2077
B,832.1971505125297,2078
B,836.0027483352643,2079
B,832.7705838979426,2080
B,826.1729154813098,2081
B,836.0688194051745,2082
B,846.6829805531994,2083
B,853.2640795511826,2084
B,866.9589876946554,2085
B,877.8388349239807,2086
B,868.6657631959903,2087
B,855.0432462567759,2088
B,858.7746047248938,2089
B,854.7391099831513,2090
B,848.062860147736,2091
B,856.7220093904924,2092
B,867.4499754010716,2093
B,870.6233632230213,2094
B,885.5623845946245,2095
B,892.7995686023386,2096
B,876.6898783135173,2097
B,865.0368650085929,2098
B,868.0779292959775,2099
B,861.3793790027484,2100
B,854.7599116738386,2101
B,864.1768861206632,2102
B,874.9842780018877,2103
B,880.1337490805176,2104
B,892.5935052951353,2105
B,900.9913660382341,2106
B,891.067926605975,2107
B,879.2574913606267,2108
B,880.1679789843449,2109
B,874.0932264281653,2110
B,867.8444416923278,2111
B,876.8598207891716,2112
B,887.3796363284733,2113
B,893.2158760699809,2114
B,906.4486277050779,2115
B,917.6024642784887,2116
B,908.1144560672235,2117
B,892.3219684621597,2118
B,892.336445986545,2119
B,886.5243549975007,2120
B,882.4775794555077,2121
B,893.2093455905614,2122
B,904.2475877769524,2123
B,907.5941381724394,2125
D,15.0,2025
D,163.75630852252817,2026
D,313.2053007352533,2027
D,435.65928522842523,2028
D,532.9135235608766,2029
D,612.5023879504238,2030
D,676.4585678378247,2031
D,726.2044553034629,2032
D,764.9334713881377,2033
D,795.1849358578144,2034
D,826.2784201801685,2035
D,889.1376630996092,2036
D,966.4104220769799,2037
D,1026.4783870887725,2038
D,1066.693819076321,2039
D,1095.1254990239215,2040
D,1114.9009970357463,2041
D,1127.1804711712757,2042
D,1134.4766127877654,2043
D,1139.530523871971,2044
D,1151.434382552221,2045
D,1198.6631625940106,2046
D,1262.849463371145,2047
D,1312.7879461609057,2048
D,1346.4335512339615,2049
D,1370.313885468633,2050
D,1386.5036296763014,2051
D,1396.246749411376,2052
D,1402.2713645541273,2053
D,1406.3024932893031,2054
D,1416.8179807451857,2055
D,1463.6249591053938,2056
D,1528.7530359685754,2057
D,1579.7686489614462,2058
D,1613.2237303755926,2059
D,1636.5811437219872,2060
D,1652.5155344345499,2061
D,1661.8637755284315,2062
D,1666.9248232982927,2063
D,1670.1955909941248,2064
D,1680.705790541568,2065
D,1726.9043285565467,2066
D,1790.1613024701235,2067
D,1839.242932048045,2068
D,1872.0588510458017,2069
D,1895.0907252028937,2070
D,1910.386123982995,2071
D,1919.1800857839976,2072
D,1924.1891334466388,2073
D,1927.326292211299,2074
D,1936.9273005011246,2075
D,1982.5132188459197,2076
D,2046.4952750231853,2077
D,2096.372571720468,2078
D,2128.7398152862174,2079
D,2151.051201067306,2080
D,2165.977360431672,2081
D,2174.3441163037674,2082
D,2178.45221486927,2083
D,2180.7685983392817,2084
D,2190.1537018347112,2085
D,2235.711233598522,2086
D,2298.099603172661,2087
D,2346.321358059331,2088
D,2378.30909976269,2089
D,2400.5892375100752,2090
D,2415.1906708593024,2091
D,2423.3141938757453,2092
D,2427.671256292523,2093
D,2430.13063489375,2094
D,2439.054478241734,2095
D,2484.0418540910186,2096
D,2547.310180438649,2097
D,2596.54228687642,2098
D,2628.3489697891296,2099
D,2650.0805355117873,2100
D,2664.0559502172096,2101
D,2671.5435517398323,2102
D,2675.317164084589,2103
D,2677.1867807793487,2104
D,2685.4897244936897,2105
D,2730.2722966352258,2106
D,2792.213181899765,2107
D,2840.094932731873,2108
D,2871.740568009081,2109
D,2893.628685865101,2110
D,2907.7864696878205,2111
D,2915.454562503138,2112
D,2919.373771432294,2113
D,2921.312739249874,2114
D,2929.7177847465996,2115
D,2974.6600054800733,2116
D,3036.6135301653458,2117
D,3084.453781068629,2118
D,3115.9729863868506,2119
D,3137.6697277378744,2120
D,3151.6030683452004,2121
D,3159.111924346915,2122
D,3162.609878227488,2123
D,3165.0287003636518,2125
N,45490.0,2025
N,42629.54638333794,2026
N,40530.78476281637,2027
N,38767.170954654364,2028
N,37238.865130174534,2029
N,35876.52491298536,2030
N,34649.83173066283,2031
N,33548.502159785705,2032
N,32563.425782127328,2033
N,31710.929201972678,2034
N,30907.844109803027,2035
N,30109.94745926544,2036
N,29323.647413940376,2037
N,28570.363948649483,2038
N,27869.433997645687,2039
N,27208.177619225233,2040
N,26590.44990805232,2041
N,26029.18937790211,2042
N,25531.755833006893,2043
N,25126.003529517307,2044
N,24736.22158591318,2045
N,24321.806782709875,2046
N,23892.697115897496,2047
N,23473.34041030919,2048
N,23084.667786742175,2049
N,22715.18011815231,2050
N,22369.596967511894,2051
N,22062.240445971536,2052
N,21801.067943069746,2053
N,21614.251117342523,2054
N,21428.599341456822,2055
N,21206.59082661625,2056
N,20957.86409653823,2057
N,20706.14052910617,2058
N,20473.000191445604,2059
N,20248.944930964615,2060
N,20039.56093883732,2061
N,19859.792472592475,2062
N,19718.25351620138,2063
N,19643.83866971283,2064
N,19563.763143486874,2065
N,19439.574629391114,2066
N,19282.993540520405,2067
N,19118.35955836069,2068
N,18968.496001855772,2069
N,18823.789020540848,2070
N,18689.010796375398,2071
N,18580.34353186569,2072
N,18506.438255418063,2073
N,18497.155952929697,2074
N,18479.86685777531,2075
N,18415.380039107695,2076
N,18316.0241330507,2077
N,18206.64451172203,2078
N,18108.688985875295,2079
N,18014.346630224078,2080
N,17927.77682647672,2081
N,17865.60362563697,2082
N,17837.08166521854,2083
N,17872.595926513375,2084
N,17898.343857749544,2085
N,17876.64282295628,2086
N,17817.190932549227,2087
N,17745.161243071376,2088
N,17684.11945903761,2089
N,17625.475513722777,2090
N,17574.27693458796,2091
N,17545.413247589015,2092
N,17548.98836246797,2093
N,17614.25258696687,2094
N,17669.23595799798,2095
N,17676.594205800015,2096
N,17646.351284630444,2097
N,17604.44116538591,2098
N,17573.24399050234,2099
N,17543.124183309097,2100
N,17519.255781606837,2101
N,17517.379541602644,2102
N,17547.040826840963,2103
N,17637.886789312986,2104
N,17717.25370364361,2105
N,17749.06879689803,2106
N,17742.528951771445,2107
N,17722.054877141276,2108
N,17711.968195415247,2109
N,17702.4019871917,2110
N,17698.339808593708,2111
N,17716.363539544727,2112
N,17766.039588300187,2113
N,17877.510658797157,2114
N,17977.505026596664,2115
N,18030.276851991446,2116
N,18045.057022648183,2117
N,18044.888689066254,2118
N,18053.297498796128,2119
N,18061.609417641583,2120
N,18075.601246097813,2121
N,18113.088901208073,2122
N,18180.528921105113,2123
N,18314.170371385022,2125
S,7392.0,2025
S,10319.472388772327,2026
S,10923.840235262103,2027
S,10324.226839628183,2028
S,9936.611428066859,2029
S,9444.138854339237,2030
S,8749.707286495637,2031
S,8032.731372598802,2032
S,7458.219708426815,2033
S,6809.951394126446,2034
S,8508.798157821131,2035
S,11750.496389043103,2036
S,12571.675785063866,2037
S,11864.969160666518,2038
S,11216.307088467522,2039
S,10609.788167972516,2040
S,9803.522024376167,2041
S,8935.541385464605,2042
S,8222.05093599223,2043
S,7534.615029353582,2044
S,9155.854464837304,2045
S,12228.334560058154,2046
S,12905.292896284403,2047
S,12214.219554849013,2048
S,11582.506800771596,2049
S,10900.609683258204,2050
S,10032.050254470363,2051
S,9163.447673852572,2052
S,8454.512685281505,2053
S,7682.740050576152,2054
S,9276.476309971935,2055
S,12417.36272650089,2056
S,13159.874753082519,2057
S,12383.126153553661,2058
S,11673.096114793583,2059
S,11011.69425245707,2060
S,10157.761702737016,2061
S,9247.873138334688,2062
S,8496.504349147453,2063
S,7772.7008135303995,2064
S,9373.704955217589,2065
S,12420.035826616951,2066
S,13074.121934522795,2067
S,12363.094827904984,2068
S,11713.769796283095,2069
S,11016.429808178487,2070
S,10134.144160068141,2071
S,9253.29987914188,2072
S,8533.739518108307,2073
S,7766.980158966194,2074
S,9331.429338345211,2075
S,12468.952949346909,2076
S,13204.15751156771,2077
S,12422.385431500563,2078
S,11707.523689751319,2079
S,11042.53482899591,2080
S,10185.051776797523,2081
S,9271.985313964677,2082
S,8518.99557566011,2083
S,7780.99747972558,2084
S,9391.710744093138,2085
S,12435.381281302427,2086
S,13088.676177990563,2087
S,12375.676517128255,2088
S,11724.97337941955,2089
S,11026.399340569958,2090
S,10142.76214969189,2091
S,9261.02969227832,2092
S,8540.536733240766,2093
S,7769.352094124478,2094
S,9337.945581684371,2095
S,12470.262751543154,2096
S,13205.261550193589,2097
S,12422.674993621347,2098
S,11711.02156400308,2099
S,11022.1895422047,2100
S,10136.863766229291,2101
S,9256.337921982662,2102
S,8536.257107091238,2103
S,7756.1156480849895,2104
S,9346.989798880062,2105
S,12436.174412232345,2106
S,13103.55029670933,2107
S,12385.232806251885,2108
S,11733.896265695847,2109
S,11033.893435743674,2110
S,10149.641497672637,2111
S,9267.003562206557,2112
S,8546.448685301912,2113
S,7763.5897724007755,2114
S,9365.41611140166,2115
S,12451.248449739285,2116
S,13120.217719213124,2117
S,12401.696948707671,2118
S,11748.195030136607,2119
S,11047.333754820434,2120
S,10157.91017152601,2121
S,9287.150894651186,2122
S,8514.658520194498,2123
S,7922.8380549420435,2125
Sns,45.0,2025
Sns,52.00984558939666,2026
Sns,50.639357608485675,2027
Sns,96.2594163724029,2028
Sns,132.88159520538707,2029
Sns,127.85441201624934,2030
Sns,187.04676132903109,2031
Sns,275.48340414522653,2032
Sns,502.61450617131567,2033
Sns,647.1760026395209,2034
Sns,528.9829418575817,2035
Sns,394.0405189975509,2036
Sns,295.9552832607701,2037
Sns,271.1912755309062,2038
Sns,257.8566315484981,2039
Sns,216.91861841105836,2040
Sns,250.58218763177882,2041
Sns,321.07193332810346,2042
Sns,534.631765267312,2043
Sns,672.2574478338753,2044
Sns,546.2200091813511,2045
Sns,406.0622979149204,2046
Sns,304.53983964034154,2047
Sns,277.3188697295959,2048
Sns,262.2260271860674,2049
Sns,220.06051003684527,2050
Sns,252.8697219134157,2051
Sns,322.4707661484175,2052
Sns,535.8139165061441,2053
Sns,669.8339803094041,2054
Sns,545.2297268456998,2055
Sns,405.33309005518424,2056
Sns,304.0471449828613,2057
Sns,276.8925204370024,2058
Sns,261.94024391637987,2059
Sns,220.0410107324898,2060
Sns,252.73679802046587,2061
Sns,322.68497839624865,2062
Sns,535.0281638972743,2063
Sns,671.4096132858407,2064
Sns,545.953057152786,2065
Sns,405.8499636454226,2066
Sns,304.3947650915548,2067
Sns,277.2166915813587,2068
Sns,262.1482929764932,2069
Sns,219.95550381136755,2070
Sns,252.78264160322772,2071
Sns,322.64194892365396,2072
Sns,535.7495928610101,2073
Sns,672.860839694997,2074
Sns,546.7315857758043,2075
Sns,406.474966347012,2076
Sns,304.8338095581563,2077
Sns,277.5206496899952,2078
Sns,262.3430366790676,2079
Sns,220.20989036582864,2080
Sns,252.94280167041725,2081
Sns,322.49436620872723,2082
Sns,536.2379095926098,2083
Sns,669.8740427237519,2084
Sns,544.6998765388528,2085
Sns,405.00479526252036,2086
Sns,303.7896749700631,2087
Sns,276.74602029130006,2088
Sns,261.83302767446247,2089
Sns,219.7014451165146,2090
Sns,252.52033609444274,2091
Sns,322.2203034789626,2092
Sns,535.4700447038476,2093
Sns,671.7813741931047,2094
Sns,546.2021478386663,2095
Sns,406.09834121886513,2096
Sns,304.5762938260076,2097
Sns,277.34348726157515,2098
Sns,262.21309180718924,2099
Sns,220.15077619693355,2100
Sns,252.93519368142418,2101
Sns,322.53313261844966,2102
Sns,535.5027892460091,2103
Sns,670.4495001986179,2104
Sns,545.3771532663957,2105
Sns,405.7517047947588,2106
Sns,304.33290476444637,2107
Sns,277.1032163683896,2108
Sns,262.16129580465054,2109
Sns,219.98795625520793,2110
Sns,252.80041938515984,2111
Sns,322.4185976605497,2112
Sns,536.0803737277512,2113
Sns,670.4169305278731,2114
Sns,546.2743742250217,2115
Sns,406.3187222719113,2116
Sns,304.72888027645075,2117
Sns,277.5023761600937,2118
Sns,262.2787051180575,2119
Sns,220.4120790937567,2120
Sns,252.08585631206924,2121
Sns,326.2307999667965,2122
Sns,523.7854150335053,2123
Sns,714.5606000770143,2125
Su,1648.0,2025
Su,1488.0871803918983,2026
Su,1372.7520299091004,2027
Su,1308.9410413375765,2028
Su,1243.975444754049,2029
Su,1150.7641855093098,2030
Su,1096.31313743104,2031
Su,1083.930836246103,2032
Su,1120.71615486138,2033
Su,1147.9942411133516,2034
Su,1079.0975233874155,2035
Su,985.5211510528634,2036
Su,930.1096509281131,2037
Su,918.7849784902033,2038
Su,900.164780519402,2039
Su,847.7321836217448,2040
Su,829.1918590209439,2041
Su,848.6202223292062,2042
Su,913.1347629312196,2043
Su,965.6271565346428,2044
Su,918.4738903270546,2045
Su,843.9505921800686,2046
Su,805.3739010940658,2047
Su,808.8613109684577,2048
Su,803.2912058658017,2049
Su,762.3736596984884,2050
Su,754.0077192187657,2051
Su,782.2567351873656,2052
Su,854.7533281678675,2053
Su,913.350950088537,2054
Su,872.3562596102528,2055
Su,803.3299136282646,2056
Su,769.5543905494636,2057
Su,777.2688870981352,2058
Su,775.4616093206037,2059
Su,737.8855395912228,2060
Su,732.3353364842653,2061
Su,763.2811694788427,2062
Su,837.7588937677981,2063
Su,898.8853565330446,2064
Su,859.6606877963657,2065
Su,792.1262752475872,2066
Su,759.7098710457362,2067
Su,768.6255362296479,2068
Su,767.8391934648812,2069
Su,731.124228050719,2070
Su,726.4583928311588,2071
Su,758.0939867164481,2072
Su,833.363872260994,2073
Su,895.2909263615225,2074
Su,856.4835469458187,2075
Su,789.3323452085269,2076
Su,757.2306214641876,2077
Su,766.440521478994,2078
Su,765.9044692791163,2079
Su,729.4458272796363,2080
Su,724.969411375069,2081
Su,756.6674417595545,2082
Su,832.3047106223959,2083
Su,893.5563591849184,2084
Su,854.7424271381267,2085
Su,787.8130688081311,2086
Su,755.9020558630938,2087
Su,765.2557307199206,2088
Su,764.878724845347,2089
Su,728.5167303171627,2090
Su,724.0595097234282,2091
Su,755.8848078377388,2092
Su,831.4347727046871,2093
Su,893.3636793716669,2094
Su,854.8119805056381,2095
Su,787.9013156085373,2096
Su,755.9751518729998,2097
Su,765.3367022259448,2098
Su,764.9304110776168,2099
Su,728.5931638143635,2100
Su,724.2427842168588,2101
Su,756.0402571620937,2102
Su,831.5539396011716,2103
Su,893.1808904726112,2104
Su,854.4757774287716,2105
Su,787.67370113307,2106
Su,755.8379181519672,2107
Su,765.2024735232876,2108
Su,764.8629206078097,2109
Su,728.5117722441867,2110
Su,724.1535114910668,2111
Su,755.955703663084,2112
Su,831.6673680594857,2113
Su,893.1497693018912,2114
Su,854.5958542338781,2115
Su,787.7726478877966,2116
Su,755.895965061426,2117
Su,765.2791166644892,2118
Su,764.8681255883237,2119
Su,728.5995403349126,2120
Su,723.9664252260654,2121
Su,757.0233696374337,2122
Su,828.5274251867565,2123
Su,904.4306026381976,2125
