obj_id,phase_desc,phase,par_id,operating_agency,const_name,const_shell_id,mass,area,diam_lcola,diam_tumbl,diam_char,obj_type,length,width,depth,active,maneuverable,stkp_flg,stkp_box_r,stkp_box_i,stkp_box_c,disp_type,c2r,pc_thresh,pc_goal,man_commit,man_max_dv,man_dv_i_flg,year_start,month_start,day_start,hour_start,minute_start,second_start,mjd_start,year_final,month_final,day_final,hour_final,minute_final,second_final,mjd_final,year_epoch,month_epoch,day_epoch,hour_epoch,minute_epoch,second_epoch,mjd_epoch,sma,ecc,inc,raan,aop,ma,eci_x,eci_y,eci_z,eci_vx,eci_vy,eci_vz,obj_id_str,species_class,apogee,perigee,alt
9,debris/derelict,4,,,,,19.0,0.2043,0.510022,0.406958,0.453189,2,,,,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,,,,,,1960.0,6.0,22.0,0.0,0.0,0.0,60494.932808,2229.0,5.0,17.0,0.0,0.0,0.0,135321.0,1960.0,6.0,22.0,0.0,0.0,0.0,60494.932808,7097.035,0.019501,66.6912,9.4859,109.3014,252.9299,7041.560981,1182.107488,12.672456,-0.636013,2.881411,6.83957,9,Sns,7235.434279534999,6958.635720465,718.9349999999995
211,debris/derelict,4,,,,,18.0,0.124,0.397343,0.317049,0.353066,2,,,,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,,,,,,1964.0,1.0,11.0,0.0,0.0,0.0,60494.892657,2229.0,5.0,17.0,0.0,0.0,0.0,135321.0,1964.0,1.0,11.0,0.0,0.0,0.0,60494.892657,7289.041,0.001663,69.9014,22.8235,271.5003,88.4196,6716.164668,2831.694976,13.192167,-0.987549,2.341546,6.944891,211,Sns,7301.162675183,7276.919324817,910.9409999999998
247,disposal,3,,,,,0.98,0.1018,0.360022,0.287269,0.319904,2,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,3.162e-06,0.75,,1.0,1964.0,10.0,6.0,0.0,0.0,0.0,60494.935328,2229.0,5.0,17.0,0.0,0.0,0.0,135321.0,1964.0,10.0,6.0,0.0,0.0,0.0,60494.935328,7359.434,0.002403,90.2034,55.74,294.0353,78.9355,4035.948985,5914.736508,1684.911756,-0.918832,-1.3942,7.170995,247,Sns,7377.118719902,7341.749280098,981.3339999999989
274,debris/derelict,4,,,,,16.3,0.1192,0.389577,0.310852,0.346166,2,,,,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,,,,,,1965.0,3.0,9.0,0.0,0.0,0.0,60494.945144,2229.0,5.0,17.0,0.0,0.0,0.0,135321.0,1965.0,3.0,9.0,0.0,0.0,0.0,60494.945144,7246.17,0.001651,70.0734,149.4336,17.0936,343.0729,-6231.813989,3674.990897,13.212087,-1.271978,-2.189089,6.983727,274,Sns,7258.1334266700005,7234.2065733300005,868.0699999999997
507,disposal,3,,,,,2.48,0.2043,0.510022,0.406958,0.453189,2,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,3.162e-06,0.75,,1.0,1967.0,5.0,31.0,0.0,0.0,0.0,60494.858353,2229.0,5.0,17.0,0.0,0.0,0.0,135321.0,1967.0,5.0,31.0,0.0,0.0,0.0,60494.858353,7071.917,0.0003,69.9256,325.2197,1.002,359.1124,5809.484159,-4028.863438,13.19665,1.458098,2.125692,7.053584,507,Sns,7074.0385751,7069.7954249,693.817
527,disposal,3,,,,,1.5,0.132,0.409961,0.327117,0.364278,2,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,3.162e-06,0.75,,1.0,1967.0,5.0,31.0,0.0,0.0,0.0,60494.724359,2229.0,5.0,17.0,0.0,0.0,0.0,135321.0,1967.0,5.0,31.0,0.0,0.0,0.0,60494.724359,7001.053,4.5e-05,69.9399,269.5646,357.1328,2.9819,-48.380995,-7000.560863,13.19508,2.588295,-0.004545,7.088029,527,Sns,7001.368047385,7000.737952615,622.9529999999995
709,debris/derelict,4,,,,,3.4,0.1126,0.378638,0.302123,0.336446,2,,,,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,,,,,,1969.0,9.0,30.0,0.0,0.0,0.0,60494.935536,2229.0,5.0,17.0,0.0,0.0,0.0,135321.0,1969.0,9.0,30.0,0.0,0.0,0.0,60494.935536,7175.784,0.000739,69.9958,86.0758,30.6424,329.5128,485.979347,7154.720305,13.199517,-2.546433,0.157234,7.00783,709,Sns,7181.086904376,7170.481095623999,797.6839999999993
3461,debris/derelict,4,,,,,0.0641,0.0148,1.7774,1.418226,1.579341,2,,,,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,,,,,,1984.0,6.0,25.0,0.0,0.0,0.0,60494.700214,2229.0,5.0,17.0,0.0,0.0,0.0,135321.0,1984.0,6.0,25.0,0.0,0.0,0.0,60494.700214,6940.913,0.000412,95.8879,209.5667,310.133,49.9538,-6036.220671,-3422.655644,14.811268,-0.371621,0.683176,7.540111,3461,Sns,6943.772656156,6938.053343844,562.8130000000001
7169,debris/derelict,4,,,,,1.0,0.015,0.138198,0.110271,0.122798,2,,,,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,,,,,,2003.0,6.0,30.0,0.0,0.0,0.0,60494.932234,2229.0,5.0,17.0,0.0,0.0,0.0,135321.0,2003.0,6.0,30.0,0.0,0.0,0.0,60494.932234,7192.992,0.001058,98.6863,192.1393,73.7664,286.4677,-7030.505159,-1509.969633,14.620579,-0.214128,1.104239,7.360913,7169,Sns,7200.602185536,7185.381814464,814.8919999999998
9259,debris/derelict,4,,,,,1.0,0.015,0.138198,0.110271,0.122798,2,,,,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,,,,,,2008.0,4.0,28.0,0.0,0.0,0.0,60494.909117,2229.0,5.0,17.0,0.0,0.0,0.0,135321.0,2008.0,4.0,28.0,0.0,0.0,0.0,60494.909117,6905.917,0.001156,97.6208,162.3097,135.0988,225.1179,-6584.113604,2102.0952,14.701388,0.327344,0.952255,7.524001,9259,Sns,6913.900240052,6897.933759948,527.817
10838,disposal,3,,,,,3.0,0.02,0.159577,0.12733,0.141795,2,,,,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,,,,,,2011.0,10.0,28.0,0.0,0.0,0.0,60494.770878,2229.0,5.0,17.0,0.0,0.0,0.0,135321.0,2011.0,10.0,28.0,0.0,0.0,0.0,60494.770878,6720.417,0.004279,101.7071,10.9445,317.9953,41.8017,6577.736199,1268.946674,14.330878,0.302768,-1.538158,7.565244,10838,Sns,6749.1736643429995,6691.660335657,342.3169999999991
10839,disposal,3,,,,,3.0,0.035,0.2111,0.168441,0.187577,2,,,,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,,,,,,2011.0,10.0,28.0,0.0,0.0,0.0,60494.799991,2229.0,5.0,17.0,0.0,0.0,0.0,135321.0,2011.0,10.0,28.0,0.0,0.0,0.0,60494.799991,6780.161,0.006249,101.6885,355.3775,323.7276,35.9734,6723.768983,-546.613264,14.328971,-0.114141,-1.557065,7.546373,10839,Sns,6822.530226088999,6737.791773911001,402.0609999999997
11219,disposal,3,,,,,1.0,0.015,0.138198,0.110271,0.122798,2,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,3.162e-06,0.75,,1.0,2012.0,9.0,13.0,0.0,0.0,0.0,60494.430515,2229.0,5.0,17.0,0.0,0.0,0.0,135321.0,2012.0,9.0,13.0,0.0,0.0,0.0,60494.430515,6865.756,0.008912,64.6527,186.0574,359.7832,0.3242,-6765.955125,-723.774326,12.154306,0.362015,-3.271183,6.947569,11219,Sns,6926.943617472,6804.568382528,487.65599999999995
12609,disposal,3,,,,,15.0,0.1,0.356825,0.284718,0.317063,2,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,3.162e-06,0.75,,1.0,2016.0,6.0,22.0,0.0,0.0,0.0,60494.630628,2229.0,5.0,17.0,0.0,0.0,0.0,135321.0,2016.0,6.0,22.0,0.0,0.0,0.0,60494.630628,6761.467,9.9e-05,97.0998,224.0755,2.7134,357.4129,-4858.384828,-4701.522101,14.729168,-0.648048,0.69359,7.619866,12609,Sns,6762.1363852330005,6760.797614767,383.3670000000002
